OID_,Value,Count,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,Field1,OID1,Value_1,Count_1,BPS_CODE_1,ZONE_1,BPS_MODEL_1,BPS_NAME_1,GROUPVEG_1,FRI_REPLAC_1,FRI_MIXED_1,FRI_SURFAC_1,FRI_ALLFIR_1,PRC_REPLAC_1,PRC_MIXED_1,PRC_SURFAC_1,FRG_NEW_1,R_1,G_1,B_1,RED_1,GREEN_1,BLUE_1,SI_FRG
2,-1111,3789.000000000000000,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,111,111,111,0.435294000000000,0.435294000000000,0.435294000000000,1,,-1111,3789,-1111,-1111,-1111,Fill-Not Mapped,Fill-Not Mapped,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,111,111,111,0.435294000000000,0.435294000000000,0.435294000000000,NA
3,11,13648792.000000000000000,11,0,0,Open Water,Open Water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000,2,,11,22609618,11,0,0,Open Water,Open Water,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000,NA
5,31,4310.000000000000000,31,0,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000,3,,31,72421,31,0,0,Barren-Rock/Sand/Clay,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000,NA
1128,1563,6.000000000000000,13100,50,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,123,49,76,24,20,48,32,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,6,,1563,2540281,13100,50,13100_44_50,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,123,49,76,24,20,48,32,I-C,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,Frequent
1131,1566,424.000000000000000,13140,50,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,9,,1566,7646143,13140,50,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,Rare
1134,1570,8071.000000000000000,13940,50,13940_50_51,North-Central Interior Oak Savanna,Hardwood,66,184,5,5,7,3,90,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,12,,1570,31924628,13940,50,13940_50_51,North-Central Interior Oak Savanna,Hardwood,66,184,5,5,7,3,90,I-A,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000,Frequent
1135,1571,3.000000000000000,13950,50,13950_50,North-Central Oak Barrens,Hardwood,53,143,6,5,9,4,87,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000,13,,1571,2946422,13950,50,13950_50,North-Central Oak Barrens,Hardwood,53,143,6,5,9,4,87,I-A,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000,Frequent
1136,1572,3.000000000000000,14071,50,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000,14,,1572,1962167,14071,50,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000,Frequent
1143,1579,39136.000000000000000,14710,50,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,21,,1579,1345321,14710,50,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,-9999,432,67,58,-9999,14,86,III-A,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000,Intermediate
1146,1582,364.000000000000000,14790,50,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,24,,1582,1470098,14790,50,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,-9999,-9999,987,100,-9999,-9999,V-B,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000,Rare
1147,1583,12.000000000000000,14810,50,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000,25,,1583,5206110,14810,50,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,989,-9999,-9999,989,100,-9999,-9999,V-B,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000,Rare
1149,1585,342.000000000000000,14930,50,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,27,,1585,1312407,14930,50,14930_41_42_44_50,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian,17,-9999,-9999,17,100,-9999,-9999,II-C,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000,Frequent
1151,1587,3767.000000000000000,15170,50,15170_42_49_50,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,15,126,102,12,79,9,12,II-B,106,117,0,0.415686000000000,0.458824000000000,0.000000000000000,29,,1587,4944865,15170,50,15170_42_49_50,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer,15,126,102,12,79,9,12,II-B,106,117,0,0.415686000000000,0.458824000000000,0.000000000000000,Frequent
1152,1588,9895189.000000000000000,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,30,,1588,15599773,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000,Rare
1153,1589,3.000000000000000,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000,31,,1589,1736311,13022,41,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,2040,-9999,-9999,2040,100,-9999,-9999,V-B,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000,Rare
1154,1590,5633303.000000000000000,13100,41,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,74,56,23,13,18,24,58,I-B,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,32,,1590,7138141,13100,41,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,74,56,23,13,18,24,58,I-B,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000,Frequent
1155,1591,11325762.000000000000000,13140,41,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,33,,1591,12175250,13140,41,13140_38_39_40_41_42_43_44_50,North-Central Interior Maple-Basswood Forest,Hardwood,1027,-9999,857,467,46,-9999,54,V-A,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000,Rare
1156,1592,457321.000000000000000,13310,41,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000,34,,1592,457321,13310,41,13310_39_40_41,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood,16,-9999,8,6,35,-9999,65,I-B,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000,Frequent
1157,1593,3459805.000000000000000,13440,41,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000,35,,1593,3460366,13440,41,13440_41,Boreal Jack Pine-Black Spruce Forest,Conifer,82,-9999,-9999,82,100,-9999,-9999,IV-A,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000,Intermediate
1158,1596,10154952.000000000000000,13651,41,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,36,,1596,13017646,13651,41,13651_40_41_50,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,-9999,213,85,15,-9999,V-A,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000,Rare
1159,1597,2162861.000000000000000,13652,41,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,939,1147,-9999,516,55,45,-9999,V-B,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000,37,,1597,2537169,13652,41,13652_41,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer,939,1147,-9999,516,55,45,-9999,V-B,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000,Rare
1160,1598,14716787.000000000000000,13653,41,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,112,243,-9999,76,68,32,-9999,III-A,255,255,145,1.000000000000000,1.000000000000000,0.568627000000000,38,,1598,14765199,13653,41,13653_41,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,112,243,-9999,76,68,32,-9999,III-A,255,255,145,1.000000000000000,1.000000000000000,0.568627000000000,Intermediate
