OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE,OID1,Value_1,Freq
163,7207,15.000000000000000,Central Mixedgrass Prairie Shrubland,7132,2132,Sh Central Mixedgrass Prairie,Shrub,Shrubland,646,Mixedgrass Prairie,SRM 704: Blue Grama-Western Wheatgrass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,241,140,1.000000000000000,0.945098000000000,0.549020000000000,,7207,Frequent
165,7238,4562140.000000000000000,Laurentian-Acadian Northern Oak Forest,7362,2238,Tr Laurentian-Acadian Northern Oak Forest,Tree,Hardwood,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7238,Intermediate
166,7239,4099193.000000000000000,Laurentian-Acadian Northern Pine-(Oak) Forest,7362,2239,Tr Laurentian-Acadian Northern Pine-Oak Forest,Tree,Conifer-Hardwood,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7239,Intermediate
167,7240,556153.000000000000000,Laurentian-Acadian Hardwood Forest,7366,2240,Tr Laurentian-Acadian Hardwood Forest,Tree,Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Deciduous closed tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000,,7240,Rare
168,7241,2711538.000000000000000,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,7366,2241,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Tree,Conifer-Hardwood,685,Pine-Hemlock-Hardwood Forest,SAF 24: Hemlock-Yellow Birch,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,0,92,0,0.000000000000000,0.360784000000000,0.000000000000000,,7241,Rare
169,7242,392953.000000000000000,Laurentian Oak Barrens,7407,2242,Tr Laurentian Oak Barrens,Tree,Hardwood,676,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7242,Frequent
170,7243,212726.000000000000000,Laurentian Pine-Oak Barrens,7407,2243,Tr Laurentian Pine-Oak Barrens,Tree,Conifer-Hardwood,676,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7243,Frequent
182,7268,27010.000000000000000,Eastern Great Plains Tallgrass Aspen Shrubland,7331,2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,Shrub,Shrubland,602,"Aspen Forest, Woodland, and Parkland",SRM 16: Aspen,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,192,255,138,0.752941000000000,1.000000000000000,0.541176000000000,,7268,Frequent
184,7272,14284.000000000000000,Eastern Boreal Floodplain Shrubland,7444,2444,Tr Eastern Boreal Floodplain,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,7272,Rare
185,7286,5610.000000000000000,Paleozoic Plateau Bluff and Talus Herbaceous,7517,2517,Tr Paleozoic Plateau Bluff and Talus,Herb,Grassland,663,Black Oak Woodland and Savanna,SAF 110: Black Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000,,7286,Frequent
188,7290,68788.000000000000000,North-Central Oak Barrens Herbaceous,7395,2395,Tr North-Central Oak Barrens,Herb,Grassland,663,Black Oak Woodland and Savanna,SAF 14: Northern Pin Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,44,127,163,0.172549000000000,0.498039000000000,0.639216000000000,,7290,Frequent
190,7292,22609982.000000000000000,Open Water,7292,11,Ba Open Water,Water,Open Water,11,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000,,7292,NA
191,7295,326080.000000000000000,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,7295,32,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Barren,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,32,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,LF 20: Developed,Non-vegetated,Non-vegetated,Developed,230,232,250,0.901961000000000,0.909804000000000,0.980392000000000,,7295,Rare
192,7296,6844297.000000000000000,Developed-Low Intensity,7296,2902,Bau Developed-Low Intensity,Developed,Developed-Low Intensity,22,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,255,122,143,1.000000000000000,0.478431000000000,0.560784000000000,,7296,Rare
193,7297,3897015.000000000000000,Developed-Medium Intensity,7297,2903,Bau Developed-Medium Intensity,Developed,Developed-Medium Intensity,23,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,253,44,79,0.992157000000000,0.172549000000000,0.309804000000000,,7297,Rare
194,7298,1971108.000000000000000,Developed-High Intensity,7298,2904,Bau Developed-High Intensity,Developed,Developed-High Intensity,24,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed,173,0,28,0.678431000000000,0.000000000000000,0.109804000000000,,7298,Rare
