,VALUE,Freq,BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW,R,G,B,RED,GREEN,BLUE,ACRES,REL_PERCENT
1,11,1300756,11,NA,NA,Open Water,Open Water,NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,289281,18.1
2,1608,1026662,14770,41,14770_40_41_50_51,Peatland Systems,Riparian,716,NA,123,105,15,NA,85,III-B,106,0,138,0.415686275,0,0.541176471,228324,14.3
3,1596,954735,13651,41,13651_40_41_50,White Spruce-Fir-Hardwood Forest-Inland,Conifer,250,1468,NA,213,85,15,NA,V-A,147,194,114,0.576470588,0.760784314,0.447058824,212328,13.3
4,2724,824837,13622,41,13622_41_50,Northern Pine(-Oak) Forest-Pine Dominated,Hardwood-Conifer,230,NA,40,34,15,NA,85,I-C,255,167,127,1,0.654901961,0.498039216,183439,11.5
5,1610,620322,14810,41,14810_41_50_51_63,Alkaline Conifer-Hardwood Swamp,Riparian,989,NA,NA,989,100,NA,NA,V-B,232,189,255,0.909803922,0.741176471,1,137956,8.6
6,1602,595353,14072,41,14072_41_50_51,Pine-Oak Barrens-Jack Pine,Conifer,25,46,18,8,34,18,48,I-B,153,66,100,0.6,0.258823529,0.392156863,132403,8.3
7,1598,457211,13653,41,13653_41,White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer,112,243,NA,76,68,32,NA,III-A,255,255,145,1,1,0.568627451,101681,6.4
8,1607,433279,14750,41,14750_41_50_51_63_64_65_66,Floodplain Systems,Riparian,NA,435,68,59,NA,14,86,III-A,122,143,245,0.478431373,0.560784314,0.960784314,96359,6
9,1591,331004,13140,41,13140_38_39_40_41_42_43_44_50,Maple-Basswood Forest,Hardwood,1027,NA,857,467,46,NA,54,V-A,237,161,102,0.929411765,0.631372549,0.4,73614,4.6
10,1590,257888,13100,41,13100_41_62,Dry-Mesic Oak Forest and Woodland,Hardwood,74,56,23,13,18,24,58,I-B,176,163,222,0.690196078,0.639215686,0.870588235,57353,3.6
11,1588,189609,13022,41,13022_41_50_51,LaNorthern Hardwoods Forest-Hemlock,Hardwood,2040,NA,NA,2040,100,NA,NA,V-B,76,230,0,0.298039216,0.901960784,0,42168,2.6
12,1613,84918,14940,41,14940_41_50_51, Shrub-Herbaceous Wetland Systems,Riparian,18,NA,NA,18,100,NA,NA,II-C,0,168,107,0,0.658823529,0.419607843,18885,1.2
13,1597,62771,13652,41,13652_41,White Spruce-Fir-Hardwood Forest-Coastal,Conifer,939,1147,NA,516,55,45,NA,V-B,110,137,70,0.431372549,0.537254902,0.274509804,13960,0.9
14,1605,36376,14440,41,14440_41_50_51,Boreal Floodplain,Hardwood,NA,581,312,203,NA,35,65,V-A,69,69,156,0.270588235,0.270588235,0.611764706,8090,0.5
15,1599,7653,13940,41,13940_39_40_41,Interior Oak Savanna,Hardwood,550,165,5,5,1,3,96,I-A,230,213,138,0.901960784,0.835294118,0.541176471,1702,0.1
16,1600,5567,13950,41,13950_41_42_43_49_52,Oak Barrens,Hardwood,341,246,5,5,1,2,97,I-A,255,235,176,1,0.921568627,0.690196078,1238,0.1
17,1593,590,13440,41,13440_41,Jack Pine-Black Spruce Forest,Conifer,82,NA,NA,82,100,NA,NA,IV-A,255,140,140,1,0.549019608,0.549019608,131,0
18,1601,3486,14071,41,14071_41_50_51,Pine-Oak Barrens,Hardwood-Conifer,109,75,5,4,4,6,90,I-A,153,66,0,0.6,0.258823529,0,775,0
19,1603,378,14120,41,14120_39_40_41_42_43_50_51,Interior Sand and Gravel Tallgrass Prairie,Grassland,4,NA,87,3,96,NA,4,II-A,214,0,157,0.839215686,0,0.615686275,84,0
20,1606,236,14710,41,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,NA,432,67,58,NA,14,86,III-A,0,191,176,0,0.749019608,0.690196078,52,0
21,1609,1,14790,41,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Riparian,987,NA,NA,987,100,NA,NA,V-B,207,61,255,0.811764706,0.239215686,1,0,0
