OID_,Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE,OID1,Value_1,Freq
163,7207,15.000000000000000,Central Mixedgrass Prairie Shrubland,7132,2132,Sh Central Mixedgrass Prairie,Shrub,Shrubland,646,Mixedgrass Prairie,SRM 704: Blue Grama-Western Wheatgrass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,255,241,140,1.000000000000000,0.945098000000000,0.549020000000000,,7207,Frequent
166,7239,361735.000000000000000,Laurentian-Acadian Northern Pine-(Oak) Forest,7362,2239,Tr Laurentian-Acadian Northern Pine-Oak Forest,Tree,Conifer-Hardwood,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7239,Intermediate
170,7243,5297.000000000000000,Laurentian Pine-Oak Barrens,7407,2243,Tr Laurentian Pine-Oak Barrens,Tree,Conifer-Hardwood,676,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7243,Frequent
182,7268,27010.000000000000000,Eastern Great Plains Tallgrass Aspen Shrubland,7331,2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,Shrub,Shrubland,602,"Aspen Forest, Woodland, and Parkland",SRM 16: Aspen,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,192,255,138,0.752941000000000,1.000000000000000,0.541176000000000,,7268,Frequent
184,7272,14284.000000000000000,Eastern Boreal Floodplain Shrubland,7444,2444,Tr Eastern Boreal Floodplain,Shrub,Riparian,666,Eastern Floodplain Forests,SAF 39: Black Ash-American Elm-Red Maple,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland,50,137,168,0.196078000000000,0.537255000000000,0.658824000000000,,7272,Rare
185,7286,3036.000000000000000,Paleozoic Plateau Bluff and Talus Herbaceous,7517,2517,Tr Paleozoic Plateau Bluff and Talus,Herb,Grassland,663,Black Oak Woodland and Savanna,SAF 110: Black Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,85,187,194,0.333333000000000,0.733333000000000,0.760784000000000,,7286,Frequent
188,7290,1802.000000000000000,North-Central Oak Barrens Herbaceous,7395,2395,Tr North-Central Oak Barrens,Herb,Grassland,663,Black Oak Woodland and Savanna,SAF 14: Northern Pin Oak,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid,44,127,163,0.172549000000000,0.498039000000000,0.639216000000000,,7290,Frequent
251,7362,634837.000000000000000,Laurentian-Acadian Northern Pine Forest,7362,2362,Tr Laurentian-Acadian Northern Pine Forest,Tree,Conifer,665,Red Pine-White Pine Forest and Woodland,SAF 15: Red Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7362,Intermediate
273,7385,163.000000000000000,Great Plains Wooded Draw and Ravine Woodland,7385,2385,Tr Western Great Plains Wooded Draw and Ravine,Tree,Riparian,635,Western Riparian Woodland and Shrubland,LF 41: Deciduous Shrubland,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy,128,97,69,0.501961000000000,0.380392000000000,0.270588000000000,,7385,Rare
292,7407,41400.000000000000000,Laurentian Pine Barrens,7407,2407,Tr Laurentian Pine Barrens,Tree,Conifer,676,Jack Pine Forest,SAF 15: Red Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy,174,245,224,0.682353000000000,0.960784000000000,0.878431000000000,,7407,Frequent
297,7412,176139.000000000000000,North-Central Interior Sand and Gravel Tallgrass Prairie,7412,2412,He North-Central Interior Sand and Gravel Tallgrass Prairie,Herb,Grassland,649,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.000000000000000,0.537255000000000,0.250980000000000,,7412,Frequent
305,7420,2065360.000000000000000,Northern Tallgrass Prairie,7420,2420,He Northern Tallgrass Prairie,Herb,Grassland,649,Tallgrass Prairie,SRM 601: Bluestem Prairie,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland,255,137,64,1.000000000000000,0.537255000000000,0.250980000000000,,7420,Frequent
