Value,Count,BPS_CODE,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,R,G,B,RED,GREEN,BLUE
-1111,22676.000000000000000,-1111,Fill-Not Mapped,-1111,-1111,-1111,-1111,111,111,111,0.435294000000000,0.435294000000000,0.435294000000000
11,60855683.000000000000000,11,Open Water,-9999,-9999,-9999,-9999,0,0,255,0.000000000000000,0.000000000000000,1.000000000000000
31,222634.000000000000000,31,Barren-Rock/Sand/Clay,-9999,-9999,-9999,-9999,191,191,191,0.749020000000000,0.749020000000000,0.749020000000000
1517,49374.000000000000000,13220,Southern Crowley`s Ridge Mesic Loess Slope Forest,483,107,88,44,62,245,51,0.243137000000000,0.960784000000000,0.200000000000000
1518,39.000000000000000,13230,West Gulf Coastal Plain Mesic Hardwood Forest,271,90,23,17,181,158,143,0.709804000000000,0.619608000000000,0.560784000000000
1520,2274.000000000000000,13290,East Gulf Coastal Plain Southern Loess Bluff Forest,218,189,69,41,168,8,54,0.658824000000000,0.031373000000000,0.211765000000000
1522,153.000000000000000,13710,West Gulf Coastal Plain Pine-Hardwood Forest,121,64,5,4,100,168,0,0.392157000000000,0.658824000000000,0.000000000000000
1523,395475.000000000000000,13810,Lower Mississippi River Dune Woodland and Forest,339,450,5,5,222,196,138,0.870588000000000,0.768627000000000,0.541176000000000
1527,6642570.000000000000000,14730,Gulf and Atlantic Coastal Plain Floodplain Systems,115,-9999,100,53,102,119,205,0.400000000000000,0.466667000000000,0.803922000000000
1529,2546310.000000000000000,14800,Gulf and Atlantic Coastal Plain Swamp Systems,994,-9999,681,404,102,212,179,0.400000000000000,0.831373000000000,0.701961000000000
1531,841276.000000000000000,15100,Northern Crowley`s Ridge Sand Forest,135,486,6,5,202,122,245,0.792157000000000,0.478431000000000,0.960784000000000
1532,787.000000000000000,15130,Lower Mississippi River Flatwoods,395,162,95,52,98,0,117,0.384314000000000,0.000000000000000,0.458824000000000
1561,22320177.000000000000000,13022,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,2040,-9999,-9999,2040,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1562,14406012.000000000000000,13022,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,2040,-9999,-9999,2040,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000
1563,2558890.000000000000000,13100,North-Central Interior Dry-Mesic Oak Forest and Woodland,123,49,76,24,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1564,274025.000000000000000,13110,North-Central Interior Dry Oak Forest and Woodland,104,98,19,14,179,207,143,0.701961000000000,0.811765000000000,0.560784000000000
1565,907654.000000000000000,13130,North-Central Interior Beech-Maple Forest,1004,-9999,836,456,0,156,44,0.000000000000000,0.611765000000000,0.172549000000000
1566,7654038.000000000000000,13140,North-Central Interior Maple-Basswood Forest,1027,-9999,857,467,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1568,1045537.000000000000000,13651,Boreal White Spruce-Fir-Hardwood Forest-Inland,250,1468,-9999,213,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1569,2410684.000000000000000,13660,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,483,1018,291,154,208,255,99,0.815686000000000,1.000000000000000,0.388235000000000
1570,33055441.000000000000000,13940,North-Central Interior Oak Savanna,66,184,5,5,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1571,2977978.000000000000000,13950,North-Central Oak Barrens,53,143,6,5,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000
1572,1965999.000000000000000,14071,Laurentian Pine-Oak Barrens,109,75,5,4,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000
1573,1047235.000000000000000,14072,Laurentian Pine-Oak Barrens-Jack Pine,25,46,18,8,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000
1574,69849.000000000000000,14090,Great Lakes Alvar,439,3247,-9999,387,227,235,117,0.890196000000000,0.921569000000000,0.458824000000000
1575,2198921.000000000000000,14120,North-Central Interior Sand and Gravel Tallgrass Prairie,4,-9999,87,3,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1576,7488387.000000000000000,14210,Central Tallgrass Prairie,4,-9999,-9999,4,232,255,196,0.909804000000000,1.000000000000000,0.768627000000000
1577,56467.000000000000000,14440,Eastern Boreal Floodplain,-9999,581,312,203,69,69,156,0.270588000000000,0.270588000000000,0.611765000000000
1578,183996.000000000000000,14660,Great Lakes Wooded Dune and Swale,3715,536,-9999,468,181,0,0,0.709804000000000,0.000000000000000,0.000000000000000
1579,1416347.000000000000000,14710,Central Interior and Appalachian Floodplain Systems,-9999,432,67,58,0,191,176,0.000000000000000,0.749020000000000,0.690196000000000
1580,815690.000000000000000,14750,Laurentian-Acadian Floodplain Systems,-9999,435,68,59,122,143,245,0.478431000000000,0.560784000000000,0.960784000000000
1581,9075955.000000000000000,14770,Boreal Acidic Peatland Systems,716,-9999,123,105,106,0,138,0.415686000000000,0.000000000000000,0.541176000000000
1582,1505040.000000000000000,14790,Central Interior and Appalachian Swamp Systems,987,-9999,-9999,987,207,61,255,0.811765000000000,0.239216000000000,1.000000000000000
1583,5206168.000000000000000,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,989,-9999,-9999,989,232,189,255,0.909804000000000,0.741176000000000,1.000000000000000
1584,277054.000000000000000,14920,Great Lakes Coastal Marsh Systems,-9999,-9999,-9999,-9999,122,245,202,0.478431000000000,0.960784000000000,0.792157000000000
1585,1322694.000000000000000,14930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,17,-9999,-9999,17,240,150,20,0.941176000000000,0.588235000000000,0.078431000000000
1586,944949.000000000000000,14940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,18,-9999,-9999,18,0,168,107,0.000000000000000,0.658824000000000,0.419608000000000
1587,5108234.000000000000000,15170,Paleozoic Plateau Bluff and Talus,15,126,102,12,106,117,0,0.415686000000000,0.458824000000000,0.000000000000000
1588,15600222.000000000000000,13022,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,2040,-9999,-9999,2040,76,230,0,0.298039000000000,0.901961000000000,0.000000000000000
1589,1735857.000000000000000,13022,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,2040,-9999,-9999,2040,76,230,150,0.298039000000000,0.901961000000000,0.588235000000000
1590,7138141.000000000000000,13100,North-Central Interior Dry-Mesic Oak Forest and Woodland,74,56,23,13,176,163,222,0.690196000000000,0.639216000000000,0.870588000000000
1591,12175245.000000000000000,13140,North-Central Interior Maple-Basswood Forest,1027,-9999,857,467,237,161,102,0.929412000000000,0.631373000000000,0.400000000000000
1592,457321.000000000000000,13310,Eastern Great Plains Tallgrass Aspen Parkland,16,-9999,8,6,220,240,0,0.862745000000000,0.941176000000000,0.000000000000000
1593,3460313.000000000000000,13440,Boreal Jack Pine-Black Spruce Forest,82,-9999,-9999,82,255,140,140,1.000000000000000,0.549020000000000,0.549020000000000
1596,13018302.000000000000000,13651,Boreal White Spruce-Fir-Hardwood Forest-Inland,250,1468,-9999,213,147,194,114,0.576471000000000,0.760784000000000,0.447059000000000
1597,2540756.000000000000000,13652,Boreal White Spruce-Fir-Hardwood Forest-Coastal,939,1147,-9999,516,110,137,70,0.431373000000000,0.537255000000000,0.274510000000000
1598,14764984.000000000000000,13653,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,112,243,-9999,76,255,255,145,1.000000000000000,1.000000000000000,0.568627000000000
1599,8909275.000000000000000,13940,North-Central Interior Oak Savanna,550,165,5,5,230,213,138,0.901961000000000,0.835294000000000,0.541176000000000
1600,2501596.000000000000000,13950,North-Central Oak Barrens,341,246,5,5,255,235,176,1.000000000000000,0.921569000000000,0.690196000000000
1601,498108.000000000000000,14071,Laurentian Pine-Oak Barrens,109,75,5,4,153,66,0,0.600000000000000,0.258824000000000,0.000000000000000
1602,11046083.000000000000000,14072,Laurentian Pine-Oak Barrens-Jack Pine,25,46,18,8,153,66,100,0.600000000000000,0.258824000000000,0.392157000000000
1603,3016992.000000000000000,14120,North-Central Interior Sand and Gravel Tallgrass Prairie,4,-9999,87,3,214,0,157,0.839216000000000,0.000000000000000,0.615686000000000
1604,10630183.000000000000000,14200,Northern Tallgrass Prairie,4,-9999,-9999,4,184,132,29,0.721569000000000,0.517647000000000,0.113725000000000
